pdf_name,label_key,year,type,forecast_year,horizon,pred_value,realized_value,error
spa_2021_november_vetur_haust,visitala neysluverds,2022,extrapolation,2021,1,5.3,6.4,-1.1000000000000005
spa_2021_november_vetur_haust,visitala neysluverds,2023,extrapolation,2021,2,2.8,5.0,-2.2
spa_2021_november_vetur_haust,visitala neysluverds,2024,extrapolation,2021,3,2.3,-0.7,3.0
spa_2021_november_vetur_haust,voru- og thjonustujofnudur,2021,forecast,2021,0,-0.7,-1.8,1.1
spa_2021_november_vetur_haust,voru- og thjonustujofnudur,2022,extrapolation,2021,1,3.3,-0.7,4.0
spa_2021_november_vetur_haust,voru- og thjonustujofnudur,2023,extrapolation,2021,2,2.9,0.5,2.4
spa_2021_november_vetur_haust,voru- og thjonustujofnudur,2024,extrapolation,2021,3,3.0,-0.8,3.8
spa_2021_november_vetur_haust,vidskiptajofnudur,2021,forecast,2021,0,-0.1,-1.6,1.5
spa_2021_november_vetur_haust,vidskiptajofnudur,2022,extrapolation,2021,1,3.9,-1.5,5.4
spa_2021_november_vetur_haust,vidskiptajofnudur,2023,extrapolation,2021,2,3.4,1.1,2.3
spa_2021_november_vetur_haust,vidskiptajofnudur,2024,extrapolation,2021,3,3.3,-2.7,6.0
spa_2021_november_vetur_haust,vlf a verdlagi hvers ars,2021,forecast,2021,0,3.235,3.251,-0.016000000000000014
spa_2021_november_vetur_haust,vlf a verdlagi hvers ars,2022,extrapolation,2021,1,3.565,3.766,-0.20100000000000007
spa_2021_november_vetur_haust,vlf a verdlagi hvers ars,2023,extrapolation,2021,2,3.755,4.321,-0.5659999999999998
spa_2021_november_vetur_haust,vlf a verdlagi hvers ars,2024,extrapolation,2021,3,3.932,4.598,-0.6659999999999999
spa_2021_november_vetur_haust,einkaneysla,2021,forecast,2021,0,4.4,4.4,0.0
spa_2021_november_vetur_haust,einkaneysla,2022,extrapolation,2021,1,3.3,8.3,-5.000000000000001
spa_2021_november_vetur_haust,einkaneysla,2023,extrapolation,2021,2,2.6,8.7,-6.1
spa_2021_november_vetur_haust,einkaneysla,2024,extrapolation,2021,3,2.5,5.9,-3.4000000000000004
spa_2021_november_vetur_haust,gengisvisitala,2021,forecast,2021,0,-2.3,-2.4,0.10000000000000009
spa_2021_november_vetur_haust,gengisvisitala,2022,extrapolation,2021,1,-2.1,-3.0,0.8999999999999999
spa_2021_november_vetur_haust,gengisvisitala,2023,extrapolation,2021,2,-0.3,2.6,-2.9
spa_2021_november_vetur_haust,gengisvisitala,2024,extrapolation,2021,3,0.0,0.0,0.0
spa_2021_november_vetur_haust,raungengi,2021,forecast,2021,0,4.1,3.9,0.19999999999999973
spa_2021_november_vetur_haust,raungengi,2022,extrapolation,2021,1,3.4,3.9,-0.5
spa_2021_november_vetur_haust,raungengi,2023,extrapolation,2021,2,1.1,0.9,0.20000000000000007
spa_2021_november_vetur_haust,raungengi,2024,extrapolation,2021,3,0.6,3.3,-2.6999999999999997
spa_2021_november_vetur_haust,atvinnuleysi,2021,forecast,2021,0,6.5,6.0,0.5
spa_2021_november_vetur_haust,atvinnuleysi,2022,extrapolation,2021,1,5.3,3.8,1.5
spa_2021_november_vetur_haust,atvinnuleysi,2023,extrapolation,2021,2,4.8,3.4,1.4
spa_2021_november_vetur_haust,atvinnuleysi,2024,extrapolation,2021,3,4.5,3.4,1.1
spa_2021_november_vetur_haust,launavisitala m.v. fast verdlag,2021,forecast,2021,0,3.4,3.7,-0.30000000000000027
spa_2021_november_vetur_haust,launavisitala m.v. fast verdlag,2022,extrapolation,2021,1,1.5,0.0,1.5
spa_2021_november_vetur_haust,launavisitala m.v. fast verdlag,2023,extrapolation,2021,2,1.5,0.9,0.6
spa_2021_november_vetur_haust,launavisitala m.v. fast verdlag,2024,extrapolation,2021,3,1.7,0.7,1.0
spa_2021_november_vetur_haust,hagvoxtur i helstu vidskiptalondum,2021,forecast,2021,0,2.4,5.7,-3.3000000000000003
spa_2021_november_vetur_haust,hagvoxtur i helstu vidskiptalondum,2022,extrapolation,2021,1,2.1,3.1,-1.0
spa_2021_november_vetur_haust,hagvoxtur i helstu vidskiptalondum,2023,extrapolation,2021,2,1.8,1.2,0.6000000000000001
spa_2021_november_vetur_haust,hagvoxtur i helstu vidskiptalondum,2024,extrapolation,2021,3,1.9,1.5,0.3999999999999999
spa_2021_november_vetur_haust,verd utflutts als,2021,forecast,2021,0,41.5,44.0,-2.5
spa_2021_november_vetur_haust,verd utflutts als,2022,extrapolation,2021,1,19.0,31.4,-12.399999999999999
spa_2021_november_vetur_haust,verd utflutts als,2023,extrapolation,2021,2,-7.0,-22.6,15.600000000000001
spa_2021_november_vetur_haust,verd utflutts als,2024,extrapolation,2021,3,-6.4,2.8,-9.2
spa_2021_november_vetur_haust,oliuverd,2021,forecast,2021,0,64.8,63.7,1.0999999999999943
spa_2021_november_vetur_haust,oliuverd,2022,extrapolation,2021,1,11.0,39.8,-28.799999999999997
spa_2021_november_vetur_haust,oliuverd,2023,extrapolation,2021,2,-8.4,-16.9,8.499999999999998
spa_2021_november_vetur_haust,oliuverd,2024,extrapolation,2021,3,-6.5,-1.4,-5.1
spa_2022_mars_vor,verg landsframleidsla,2022,forecast,2022,0,4.2,8.6,-4.3999999999999995
spa_2022_mars_vor,verg landsframleidsla,2023,extrapolation,2022,1,3.4,0.5,2.9
spa_2022_mars_vor,verg landsframleidsla,2024,extrapolation,2022,2,3.0,0.8,2.2
spa_2022_mars_vor,samneysla,2022,forecast,2022,0,1.1,1.6,-0.5
spa_2022_mars_vor,samneysla,2023,extrapolation,2022,1,1.5,1.8,-0.30000000000000004
spa_2022_mars_vor,samneysla,2024,extrapolation,2022,2,1.3,2.1,-0.8
spa_2022_mars_vor,fjarmunamyndun,2022,forecast,2022,0,5.0,6.9,-1.9000000000000004
spa_2022_mars_vor,fjarmunamyndun,2023,extrapolation,2022,1,0.9,1.6,-0.7000000000000001
spa_2022_mars_vor,fjarmunamyndun,2024,extrapolation,2022,2,1.6,7.7,-6.1
spa_2022_mars_vor,atvinnuvegafjarfesting,2022,forecast,2022,0,6.1,15.2,-9.1
spa_2022_mars_vor,atvinnuvegafjarfesting,2023,extrapolation,2022,1,-1.9,3.6,-5.5
spa_2022_mars_vor,atvinnuvegafjarfesting,2024,extrapolation,2022,2,2.1,7.0,-4.9
spa_2022_mars_vor,fjarfesting i ibudarhusnaedi,2022,forecast,2022,0,6.8,-6.3,13.1
spa_2022_mars_vor,fjarfesting i ibudarhusnaedi,2023,extrapolation,2022,1,9.0,-2.3,11.3
spa_2022_mars_vor,fjarfesting i ibudarhusnaedi,2024,extrapolation,2022,2,3.7,18.9,-15.2
spa_2022_mars_vor,fjarfesting hins opinbera,2022,forecast,2022,0,-1.0,-0.9,-0.09999999999999998
spa_2022_mars_vor,fjarfesting hins opinbera,2023,extrapolation,2022,1,-1.2,-1.2,0.0
spa_2022_mars_vor,fjarfesting hins opinbera,2024,extrapolation,2022,2,-3.4,-2.2,-1.1999999999999997
spa_2022_mars_vor,thjodarutgjold alls,2022,forecast,2022,0,3.5,6.4,-2.9000000000000004
spa_2022_mars_vor,thjodarutgjold alls,2023,extrapolation,2022,1,2.3,1.6,0.6999999999999997
spa_2022_mars_vor,thjodarutgjold alls,2024,extrapolation,2022,2,2.3,1.8,0.4999999999999998
spa_2022_mars_vor,utflutningur voru og thjonustu,2022,forecast,2022,0,16.0,20.6,-4.600000000000001
spa_2022_mars_vor,utflutningur voru og thjonustu,2023,extrapolation,2022,1,5.8,6.3,-0.5
spa_2022_mars_vor,utflutningur voru og thjonustu,2024,extrapolation,2022,2,4.7,-2.3,7.0
spa_2022_mars_vor,innflutningur voru og thjonustu,2022,forecast,2022,0,12.4,19.7,-7.299999999999999
spa_2022_mars_vor,innflutningur voru og thjonustu,2023,extrapolation,2022,1,4.9,-1.1,6.0
spa_2022_mars_vor,innflutningur voru og thjonustu,2024,extrapolation,2022,2,5.0,3.3,1.7000000000000002
spa_2022_mars_vor,visitala neysluverds,2022,forecast,2022,0,4.6,6.4,-1.8000000000000007
spa_2022_mars_vor,visitala neysluverds,2023,extrapolation,2022,1,2.7,5.0,-2.3
spa_2022_mars_vor,visitala neysluverds,2024,extrapolation,2022,2,2.2,-0.7,2.9000000000000004
spa_2022_mars_vor,voru- og thjonustujofnudur,2022,forecast,2022,0,0.1,-0.7,0.7999999999999999
spa_2022_mars_vor,voru- og thjonustujofnudur,2023,extrapolation,2022,1,0.3,0.5,-0.2
spa_2022_mars_vor,voru- og thjonustujofnudur,2024,extrapolation,2022,2,0.5,-0.8,1.3
spa_2022_mars_vor,vidskiptajofnudur,2022,forecast,2022,0,0.0,-1.5,1.5
spa_2022_mars_vor,vidskiptajofnudur,2023,extrapolation,2022,1,0.0,1.1,-1.1
spa_2022_mars_vor,vidskiptajofnudur,2024,extrapolation,2022,2,0.1,-2.7,2.8000000000000003
